title,company,salary,summary
Workshop Manager,BHBW South Africa Proprietary Limited,,The purpose of this role is to manage and expedite total unit inventory and deliver to ensure that customer expectations are met.
,Core Group South Africa,,"We are seeking part-time administrators to work within the iStore admin office.This role would include finance admin, stock admin and stock takes as well as…"
,Teach Me 2,R135 - R175 an hour,"Live in South Africa and have a South African ID, passport or a current work visa.Minimum of 75% for modules you want to teach; OR A similar qualification of…"
"Coordinator, Physical Security",Exxaro Bursaries,,PURPOSE: • To manage the physical security of the Business Unit through the managing and coordination of security staff at entrance areas.
"Highschool Maths, Physics & Chemistry tutor",Teach Me 2,R135 - R175 an hour,*Tutors needed in South Africa!* *Are you a tutor with a passion for teaching and helping others?* *We know how stressful it can be finding a meaningful part…
OFFICE ASSISTANT,Ciazcon,,"Assist with maintaining office operations by providing office support duties, e.g. receiving and distributing communications; collecting and mailing…"
Fitter Aide,Fraser Alexander,,To assist in ensuring safe efficient maintenance.Do general and maintenance/repairs.Report unsafe conditions and -behaviour.
Technical Solutions Support- Think Ahead,Core Group South Africa,,Think Ahead specialises in working with schools to plan and implement technological solutions to meet the needs of teachers and learners.
Engineer in training - Field service,Rockwell Automation,,The Engineer In Training (EIT) program is an entry-level program for engineers to learn core Rockwell Automation product technologies and to develop fundamental…
Diesel Technician,Volvo Group,,"The main purpose of the job is to produce the required labor hours through maintenance and repair work, in accordance with the Company quality and efficiency…"
Graduate: Sales Administrator (Used Vehicles),Volvo Group,,"Sales orders related to vehicles repairs.Sundry orders for monthly and ad-hoc requests.Deal file compilation, from the costing sheet, including approved…"
DRIVER,Ciazcon,,Collecting and transporting guests to and from their various destinations in a safe manner.Ensuring the vehicle log books for security and reception are…
Financial Analyst,UBS,,Preparation and dissemination of daily revenue reporting to local and global equities management.Preparation of weekly and monthly management reports for the…
Desktop Technician,Sanlam,,This combination ensures that the businesses responsible for managing different aspects of the Sanlam balance sheet are housed together.
"Electronic Technician Johannesburg, South Africa Operations",Philip Morris International,,"Maintain and improve technical standard of production equipment in order to achieve production and quality requirements, by respecting the health, safety,…"
People & Culture,Standard Bank,,"Provide support to the Head, People & Culture SBSA in organizing, establishing and refining the day-to-day operations within the SBSA portfolio."
CASHIER,Ciazcon,,Processing of invoices and receipts.Handling of customer invoicing process.Accurate writing up of receipts.Preparation of sundry reports for FM.
Front Desk Agent,"Marriott International, Inc",,"Enter and retrieve information contained in computer databases using a keyboard, mouse, or trackball to update records, files, reservations, and answer…"
Driver: Shearing: Riversdale (WM183),BKB,,"Transportation of shearing teams to and from surrounding areas.Job Functions Client Services,Communications,Driver.2.Responsible for the vehicle."
Graduate Engineer,"FLSmidth, Inc.",,"Applicant must hold a degree in Mechanical Engineering, with advanced analytical and problem-solving skills.No late applications will be accepted."
,TB HIV Care,,Purpose of the position The Data Capturer will assist Department of Health (DOH) facilities with data capturing and data management activities; support the…
Graduate Chemical Engineer Intern,Graduate Placements,R20 000 a month,"Sandton based company is currently looking to hire a bright Chemical Engineering graduate who is highly technical, has great teamwork skills and communication…"
Customer Care Support,Growthpoint Properties,,Reference # CCS04 - Customer Care Support.The incumbent will act as a point of reference for clients who need assistance or information and assist customers…
"Electronic Technician Johannesburg, South Africa Operations",Philip Morris International,,"Maintain and improve technical standard of production equipment in order to achieve production and quality requirements, by respecting the health, safety,…"
HR Global Employee Support - Analyst,"JPMorgan Chase Bank, N.A.",,"Indyvidual on this position will support the HR function in SA & SSA on Global Employee Support (GES) related activities relating to: HR accounting, payroll,…"
Country Manager | South Africa,Appnext,,"Appnext is the only platform to provide end-to-end discovery solutions from the initial device setup and personalization throughout daily mobile touchpoints,…"
Musketeer,Red Bull,,"""Musketeers"" have always been the main volume contributors, trial generators and sparks, creating kindred spirits in the On Premise environment, such as bars,…"
Runner/Messenger,Ampath Trust,,"To print, sort and deliver reports, stock items and/or specimen to and from hospital wards and Drs rooms and assist the staff with ad hoc tasks."
Front Desk Agent,"Marriott International, Inc",,"Enter and retrieve information contained in computer databases using a keyboard, mouse, or trackball to update records, files, reservations, and answer…"
Banker,Standard Bank,,To provide efficient and effective financial services to Prestige Banking customers.To provide an appointment-based in-branch point of contact for all Prestige…
,TB HIV Care,,"Purpose of the position The enrolled nurse will facilitate linkage to care, adherence counselling and support, pharmacovigilance, contact screening, retention…"
Time & Attendance Superintendent,Barberton Mines (Pty) Ltd,,"Optimise the T&A System (SACO) to ensure business and management demands regarding manpower accounting, availability, internal auditing and IMS intelligence are…"
Communication Officer,Human Sciences Research Council,,"The mission of the CCBR is to understand, identify and improve community wellbeing by exploring, describing and addressing health, education, and quality of…"
Service Crew Production,De Beers Group of Companies,,"As a Service Crew Production, you will be responsible for all construction and services in order to maintain a safe and healthy workplace environment as per…"
Program Support,Canadian Embassy,R218 304 a year,"Provides clerical support services in support of the delivery of the Immigration, Refugees and Citizenship Canada (IRCC) program."
,TB HIV Care,,"Purpose of the position The purpose of this position is to ensure proper screening, testing, linkage of TB clients to care and support services as well as…"
Technical Solutions Support- Think Ahead,Core Group South Africa,,Think Ahead specialises in working with schools to plan and implement technological solutions to meet the needs of teachers and learners.
